%FFID	CHAN	SOU_X	SOU_Y	REC_Y	REC_X	PICK2	SOU_STAT
11	7	512786.14000	4198299.15000	4198300.83000	512740.22000	23.03204	45.20000
11	8	512786.14000	4198299.15000	4198299.83000	512740.25000	23.29504	45.20000
12	1	512785.42000	4198300.24000	4198307.30000	512739.76000	10019.69922	9999.00000
12	2	512785.42000	4198300.24000	4198306.30000	512739.75000	23.71150	44.10000
12	3	512785.42000	4198300.24000	4198305.30000	512739.74000	23.63781	43.80000
12	4	512785.42000	4198300.24000	4198304.30000	512739.73000	23.27842	44.20000
12	5	512785.42000	4198300.24000	4198303.30000	512739.72000	23.03344	44.10000
12	6	512785.42000	4198300.24000	4198302.30000	512739.71000	23.00292	44.60000
12	7	512785.42000	4198300.24000	4198301.30000	512739.70000	23.08690	45.10000
12	8	512785.42000	4198300.24000	4198300.30000	512739.69000	23.28541	45.10000
13	1	512784.64000	4198301.15000	4198307.91000	512739.52000	23.01468	9999.00000
13	2	512784.64000	4198301.15000	4198306.92000	512739.57000	23.09126	44.00000
13	3	512784.64000	4198301.15000	4198305.92000	512739.61000	22.98767	43.70000
13	4	512784.64000	4198301.15000	4198304.92000	512739.65000	22.59846	44.10000
13	5	512784.64000	4198301.15000	4198303.92000	512739.70000	22.41714	44.00000
13	6	512784.64000	4198301.15000	4198302.92000	512739.74000	22.35706	44.80000
13	7	512784.64000	4198301.15000	4198301.92000	512739.78000	22.41170	45.20000
13	8	512784.64000	4198301.15000	4198300.92000	512739.83000	22.47448	45.00000
14	1	512784.27000	4198301.50000	4198308.20000	512739.47000	10019.09863	9999.00000
14	2	512784.27000	4198301.50000	4198307.20000	512739.53000	22.96786	44.00000
14	3	512784.27000	4198301.50000	4198306.20000	512739.60000	23.24490	43.60000
14	4	512784.27000	4198301.50000	4198305.20000	512739.66000	22.54298	44.10000
14	5	512784.27000	4198301.50000	4198304.21000	512739.72000	22.55605	44.20000
14	6	512784.27000	4198301.50000	4198303.21000	512739.79000	22.17665	44.80000
14	7	512784.27000	4198301.50000	4198302.21000	512739.85000	22.11872	45.20000
14	8	512784.27000	4198301.50000	4198301.21000	512739.92000	22.06907	45.30000
15	1	512783.91000	4198301.88000	4198308.46000	512739.40000	22.79617	9999.00000
15	2	512783.91000	4198301.88000	4198307.47000	512739.48000	22.85434	43.80000
15	3	512783.91000	4198301.88000	4198306.47000	512739.55000	22.73245	43.40000
15	4	512783.91000	4198301.88000	4198305.47000	512739.63000	22.41847	43.90000
15	5	512783.91000	4198301.88000	4198304.48000	512739.70000	22.22617	44.10000
15	6	512783.91000	4198301.88000	4198303.48000	512739.78000	22.14153	44.70000
15	7	512783.91000	4198301.88000	4198302.48000	512739.85000	22.17846	45.10000
15	8	512783.91000	4198301.88000	4198301.48000	512739.93000	22.22380	45.10000
16	1	512783.56000	4198302.28000	4198308.71000	512739.37000	22.37133	43.70000
16	2	512783.56000	4198302.28000	4198307.72000	512739.44000	22.43762	43.60000
16	3	512783.56000	4198302.28000	4198306.72000	512739.51000	22.31741	43.40000
16	4	512783.56000	4198302.28000	4198305.72000	512739.58000	22.01185	43.80000
16	5	512783.56000	4198302.28000	4198304.72000	512739.66000	21.81446	44.10000
